l1,case 1 - const vel (T=0.049111111),case 1 - const vel (T=0.049111111),case 1 - const vel (T=0.049111111),case2 - const acc (T=0.002),case2 - const acc (T=0.002),case2 - const acc (T=0.002),case3 - smooth (T=0.002444444),case3 - smooth (T=0.002444444),case3 - smooth (T=0.002444444)
l2,servo_x[m],potent._x[m],encoder_x[m],servo_x[m],potent._x[m],encoder_x[m],servo_x[m],potent._x[m],encoder_x[m]
114,0.049168407296166616,0.05131469781106073,0.051570864,0.007278999999999998,0.007495554207230996,0.007388807999999984,0.0058242952373333354,0.006209380220886012,0.006696276639679982
115,0.04997874062766662,0.05214630549819931,0.052375088000000014,0.007521666666666665,0.007931379073166173,0.007640127999999984,0.006052443344000002,0.006443110967728677,0.006942011706111981
116,0.05078088877399995,0.05296435455675608,0.053218405429134655,0.007768999999999998,0.008111519995810562,0.007891447999999981,0.006286702560666668,0.006688463089248233,0.00718774677254398
117,0.05157485173516662,0.053746892460423475,0.05403380000000001,0.008020666666666666,0.008402069844108417,0.008142767999999983,0.006525850665333335,0.006944150026877018,0.007483745838975981
118,0.05237699988149995,0.054542343595470485,0.054838024000000006,0.008275999999999999,0.008680997667294259,0.008394087999999984,0.0067694802506666684,0.007200478426076031,0.007729480905407977
119,0.05317914802783328,0.05535264493815758,0.055664586728953684,0.00853533333333333,0.008762351609986814,0.008645407999999981,0.007018813538666668,0.007452290769737343,0.007975215971839983
120,0.05398129617416661,0.05619781106995633,0.05649673600000001,0.008798666666666666,0.009116822330149786,0.00894699199999996,0.007273443122000001,0.00772346882049381,0.008271215038271981
121,0.05478344432049994,0.0569842222182296,0.05730096000000001,0.009065333333333331,0.009384128086801714,0.009198311999999983,0.007533369000666669,0.007990776531970688,0.008567214104703982
122,0.05558559246683327,0.05781841262918862,0.058105184,0.009335333333333331,0.009750220708625025,0.00944963199999998,0.007799405989333335,0.008252269499219958,0.00881294917113598
123,0.056395925798333274,0.058661641323464575,0.05897642579537909,0.009609666666666666,0.010046581364630927,0.009751215999999981,0.008072776310000002,0.008550565384808357,0.009108948237567978
124,0.05720625912983328,0.059488730165621805,0.05981416000000001,0.00988833333333333,0.01031969801775781,0.010052799999999966,0.008353479962666669,0.008821745131417801,0.009410526607999953
125,0.05800840727616659,0.060293864362721425,0.060618384000000004,0.010171,0.01048821678949023,0.010304119999999983,0.008640294725333338,0.00910454683928581,0.009751204740863962
126,0.058810555422499924,0.06110610207478724,0.06142260800000001,0.010458666666666666,0.010836876282836938,0.010605703999999983,0.008932405783333338,0.009391869469692244,0.010047209436863979
127,0.05962907393916659,0.061923504803544784,0.06223800086180699,0.010751,0.011191346720415895,0.010907287999999966,0.00922859091466667,0.009693397390719498,0.010343208503295977
128,0.06045577764099992,0.06276737889676828,0.06308132000000001,0.011047,0.011493518203475842,0.011208871999999969,0.009529257526666671,0.010025268979938932,0.010689471569727977
129,0.06127429615766659,0.06361254475054776,0.063885544,0.011347,0.011842177564321264,0.011510455999999968,0.009835220434000005,0.010343578228901607,0.011013389272319953
130,0.06210099985949993,0.06442284485571106,0.064740032,0.011650333333333332,0.012074617112915008,0.011812039999999966,0.010147701858666671,0.010671582358192775,0.01135406740518396
131,0.06292770356133326,0.06524863996080503,0.06559452,0.011957,0.012394221459318396,0.012113623999999984,0.010468738837333338,0.011037668052933276,0.011694745538047958
132,0.06374622207799993,0.06602988714849807,0.06639874400000001,0.012268000000000001,0.012748691690037691,0.012415207999999983,0.01079873877733334,0.011377289426768763,0.012035423670911954
133,0.06457292577983327,0.0669196029235816,0.06720296800000003,0.012583,0.013114783846776314,0.012767055999999968,0.011136886864000006,0.011756293643251408,0.012420786901887977
134,0.06539144429649994,0.06768147576718907,0.0680462852280821,0.012902333333333332,0.013434388070288603,0.013068639999999972,0.011481960875333338,0.012097206963850998,0.012767043936639952
135,0.06620177762799995,0.06856732075820773,0.06886168,0.013225999999999998,0.01376561422610847,0.013420487999999972,0.011831923774666672,0.01246329706515134,0.013113313034751977
136,0.06702848132983329,0.06936082937658196,0.069665904,0.013553666666666664,0.014027108531405891,0.013722071999999967,0.012185553340000006,0.012854568725643934,0.01350984010118398
137,0.06785518503166663,0.07019373097250188,0.07047012799999999,0.013884999999999998,0.014393200517146982,0.014073919999999967,0.012543664386000006,0.013205166217334667,0.013889606335231954
138,0.06866551836316663,0.07101823322947139,0.07132461600000001,0.014219666666666662,0.014788347368098786,0.014375503999999982,0.01290829394933334,0.013568033443075628,0.014280548468095951
139,0.0694840368798333,0.07182207608844732,0.07212884,0.014557999999999996,0.015084707469513363,0.014727351999999968,0.013281479066666673,0.013958659274588744,0.014671490600959949
140,0.07031074058166664,0.07263043926503283,0.072933064,0.014899999999999997,0.015433366372176415,0.015079199999999966,0.01366362714533334,0.014344763222089134,0.015062432733823947
141,0.07112925909833331,0.07345429646151626,0.07378755200000002,0.015245666666666663,0.015712293463175406,0.01543104799999997,0.014053515963333341,0.014768322851111236,0.015453374866687958
142,0.07195596280016665,0.07419034387514349,0.07459177600000001,0.015595666666666662,0.0161713609071829,0.015782895999999963,0.01444951589133334,0.015161534772386383,0.015894580999551954
143,0.07277448131683333,0.07515431531216273,0.075396,0.01595,0.016485153800917942,0.016134743999999965,0.01485040470733334,0.015524390166056007,0.016285529566207976
144,0.07357662946316666,0.07585032590325834,0.07625048689418949,0.016308666666666666,0.016961654055182095,0.016486591999999953,0.01525577500400001,0.01596926103810187,0.016726729265279953
145,0.07438696279466668,0.0767387543029756,0.077054712,0.01667166666666666,0.017147605352483594,0.016838439999999958,0.01566562678133334,0.016387644094816533,0.017167935398143947
146,0.07519729612616667,0.07756777677023734,0.07785893599999999,0.017038666666666664,0.01754275181950519,0.017240551999999954,0.016080774854,0.016809267291651397,0.017609141531007944
147,0.07599944427250001,0.07838195068730171,0.07869666819402169,0.017409333333333332,0.018007629947166735,0.01759239999999996,0.01650244144400001,0.0172295938812777,0.018050347663871952
148,0.07680977760400001,0.07914705787615418,0.07951206196063244,0.017784666666666664,0.018350477518930996,0.017994511999999956,0.016931033958666672,0.017681554902093173,0.018491553796735952
149,0.07761192575033335,0.0800529090310183,0.08032187200000003,0.018164666666666662,0.018716568949722567,0.018346359999999954,0.01736614499066667,0.01811544409024468,0.018932759929599946
150,0.07840588871150002,0.08086321120113439,0.081126096,0.01854833333333333,0.019030361568591884,0.018748471999999954,0.017808181947333336,0.018569989881767057,0.019424230062463944
151,0.07920803685783337,0.08169352570179614,0.08195824326046464,0.018936,0.019495239461592165,0.019150583999999953,0.018257552236000004,0.019023891468559533,0.01986543619532794
152,0.08001018500416669,0.08251092623690097,0.082784808,0.01932733333333333,0.019878763668925194,0.019552695999999956,0.018713441042,0.01949780700025521,0.020356906328191943
153,0.08081233315050003,0.08335092784543588,0.08358903200000001,0.01972233333333333,0.02039012920275152,0.019904543999999955,0.019174626143333342,0.019981413671214757,0.020848376461055952
154,0.08162266648200002,0.08415218799151603,0.08439325600000001,0.02012133333333333,0.020674866792153412,0.020306655999999954,0.019639885318000004,0.02044370710942918,0.021289582593919946
155,0.08243299981350004,0.0849766890684948,0.08519747999999999,0.02052433333333333,0.021157177342168612,0.020708767999999954,0.020109218566000002,0.02098024617594339,0.021781052726783948
156,0.08323514795983337,0.0857818271480406,0.086051968,0.02093166666666666,0.02157556715553985,0.021161143999999955,0.02058384810933334,0.021445775707961575,0.022272522859647943
157,0.08405366647650005,0.08660826476265884,0.08685619200000003,0.02134333333333333,0.021982334975400676,0.021563255999999958,0.02106540357733334,0.02192937737475071,0.022814256992511942
158,0.08487218499316672,0.08742502112000555,0.08766599962673985,0.021758666666666662,0.022389102742133106,0.021965367999999954,0.02155429237733334,0.02241943397512901,0.023305727125375954
159,0.08567433313950006,0.08830311383033226,0.08851490400000002,0.02217766666666666,0.022941144626925657,0.022367479999999964,0.022049699694666674,0.022911424202551798,0.023797197258239946
160,0.08648466647100006,0.08903722528062041,0.08931912800000001,0.02260033333333333,0.023231692948600294,0.022819855999999958,0.02255121812200001,0.02345572448186589,0.024338931391103946
161,0.08730318498766672,0.08985979282502059,0.09012335199999998,0.023026333333333333,0.023684948277443305,0.023221967999999954,0.023058032844666683,0.02393415640604899,0.02483040152396794
162,0.08811351831916674,0.09067396729761443,0.09097784000000002,0.023456333333333333,0.024114959683984454,0.02367434399999996,0.02356932904800001,0.024432607076651645,0.02537213565683194
163,0.08892385165066674,0.09151590308344572,0.091782064,0.02389066666666666,0.024603080670645247,0.024076455999999954,0.02408469932466668,0.024976259060027543,0.02591386978969594
164,0.08974237016733341,0.09233330502899827,0.092586288,0.024327999999999995,0.02499241521462818,0.02452883199999996,0.024604958489333344,0.02550763415651648,0.026455603922559943
165,0.09055270349883343,0.09315780857061426,0.09342401999301495,0.02476833333333333,0.025474725107969335,0.024981207999999953,0.025129291727333344,0.026002863874104182,0.026997338055423942
166,0.09135485164516677,0.09398812350334315,0.0942394137596257,0.025213,0.025840815702861192,0.025433583999999954,0.025657291631333345,0.026537471327511563,0.02753907218828794
167,0.09215699979150008,0.09478163781990426,0.095049224,0.025662666666666663,0.026334747394035588,0.025885959999999937,0.026190995238000014,0.027076590603333273,0.02808080632115194
168,0.09295914793783344,0.09567522452839988,0.09587020129284712,0.026117333333333333,0.026718270774623562,0.02633833599999996,0.02672999514000001,0.02761443389415088,0.028633702681023904
