,v_const,a_const,smooth
256,9.039359876589716e-06,0.0011906124844099154,-1.6787381865014395e-05
257,9.039359876589716e-06,0.0012312895812157869,-5.165348248003154e-06
258,3.2283428246606827e-06,0.0012603446499268966,-5.165348248003154e-06
259,1.4850376913777231e-05,0.001306832759109416,6.45668538386183e-07
260,-8.393691323478048e-06,0.001271966677309665,1.807871880910509e-05
261,3.2283428246606827e-06,0.0013416988403865523,1.2267702066940306e-05
262,-8.393691323478048e-06,0.0013823759345496522,6.45668538386183e-07
263,3.2283428246606827e-06,0.001364942894281081,-1.0976365049142024e-05
264,2.0661393936175134e-05,0.001428864041294402,6.45668538386183e-07
265,9.039359876589716e-06,0.001428864041294402,-1.0976365049142024e-05
266,1.4850376913777231e-05,0.0015044072127762406,-5.165348248003154e-06
267,-8.393691323478048e-06,0.0015102182258657476,6.456685310025987e-06
268,-8.393691323478048e-06,0.0015218402520013146,6.45668538386183e-07
269,-2.5826742420259e-06,0.0015450843040987166,-1.0976365049142024e-05
270,9.039359876589716e-06,0.0015973834204712019,6.45668538386183e-07
271,1.4850376913777231e-05,0.0016031944333291333,-1.0976365049142024e-05
272,-2.5826742420259e-06,0.0016322494974018674,6.456685310025987e-06
273,-8.393691323478048e-06,0.0016613045611131017,-1.6787381865014395e-05
274,9.039359876589716e-06,0.0017077926622995222,6.45668538386183e-07
275,9.039359876589716e-06,0.001731036712545994,6.456685310025987e-06
276,3.2283428246606827e-06,0.001719414687451648,-5.165348248003154e-06
277,-1.420470841969576e-05,0.0017717137999213666,6.45668538386183e-07
278,3.2283428246606827e-06,0.0018298239235164677,-2.2598398695628286e-05
279,-8.393691323478048e-06,0.0018298239235164677,6.45668538386183e-07
280,9.039359876589716e-06,0.001905367082033835,-5.165348248003154e-06
281,-8.393691323478048e-06,0.0018879340456691444,6.45668538386183e-07
282,9.039359876589716e-06,0.001957666190349821,-5.165348248003154e-06
283,2.0661393936175134e-05,0.001980910238115758,6.456685310025987e-06
284,3.2283428246606827e-06,0.0020157763093327907,6.456685310025987e-06
285,-8.393691323478048e-06,0.0020099652974992785,6.45668538386183e-07
286,3.2283428246606827e-06,0.0021029414851092476,6.45668538386183e-07
287,1.4850376913777231e-05,0.002073886426876663,6.45668538386183e-07
288,-1.420470841969576e-05,0.0020913194618593467,-5.165348248003154e-06
289,-8.393691323478048e-06,0.0021726736234013878,6.45668538386183e-07
290,3.2283428246606827e-06,0.0022075396917717208,6.456685310025987e-06
291,9.039359876589716e-06,0.0022424057596252107,1.2267702066940306e-05
292,9.039359876589716e-06,0.002254027782128232,1.2267702066940306e-05
293,3.2283428246606827e-06,0.0022888938492929187,-1.0976365049142024e-05
294,9.039359876589716e-06,0.00232375991594126,2.3889735536536373e-05
295,1.4850376913777231e-05,0.0023586259820735033,1.2267702066940306e-05
296,9.039359876589716e-06,0.002393492047689858,4.1322785630381126e-05
297,9.039359876589716e-06,0.002428358112790548,1.2267702066940306e-05
298,3.2283428246606827e-06,0.0025155232732876984,1.807871880910509e-05
299,3.2283428246606827e-06,0.0025039012520740827,1.807871880910509e-05
300,3.2283428246606827e-06,0.0024632241773758137,1.807871880910509e-05
301,-2.5826742420259e-06,0.0025620113575701435,6.45668538386183e-07
302,9.039359876589716e-06,0.0026143104512944162,1.807871880910509e-05
303,3.228342793673035e-05,0.002649176513134401,2.970075224922614e-05
304,9.039359876589716e-06,0.00266079853363349,1.807871880910509e-05
305,-1.420470841969576e-05,0.0027189086352725077,1.807871880910509e-05
306,-8.393691323478048e-06,0.002759585705570927,1.807871880910509e-05
307,1.4850376913777231e-05,0.002788640755356285,3.551176894718241e-05
308,2.0661393936175134e-05,0.0028293178244571705,1.2267702066940306e-05
309,-2.5826742420259e-06,0.002881616912275441,3.551176894718241e-05
310,-2.5826742420259e-06,0.0029164829701802345,3.551176894718241e-05
311,3.2283428246606827e-06,0.002957160037088337,6.456685221592114e-05
312,9.039359876589716e-06,0.002974593065549859,5.294481895261011e-05
313,1.4850376913777231e-05,0.003032703159497396,4.1322785630381126e-05
314,3.2283428246606827e-06,0.0030791912336322184,4.71338022988784e-05
315,1.4850376913777231e-05,0.003102435270358747,7.037786882546838e-05
316,9.039359876589716e-06,0.0031779783881514183,6.456685221592114e-05
317,-1.420470841969576e-05,0.0031896004060605453,8.199990200038641e-05
318,1.4850376913777231e-05,0.003253521503546898,9.362193511638647e-05
319,9.039359876589716e-06,0.0032418994859496914,0.00010524396817347657
320,-8.393691323478048e-06,0.0032941985646908027,0.00011686600117168076
321,1.4850376913777231e-05,0.0033639306678944123,0.00011105498467995342
322,3.2283428246606827e-06,0.003451095794033447,0.00012848803411101507
323,2.0661393936175134e-05,0.0034162297439597096,0.00012267701764870665
324,-2.5826742420259e-06,0.0034046077271553308,0.00013429905055859
325,-2.5826742420259e-06,0.003509205876358921,0.00012848803411101507
326,3.2283428246606827e-06,0.0035963709971988567,0.00013429905055859
327,1.4850376913777231e-05,0.0035847489812703835,0.000157543116201723
328,1.4850376913777231e-05,0.0035905599892416744,0.000157543116201723
329,-2.0015725530687057e-05,0.003677725107118349,0.000157543116201723
330,3.2283428246606827e-06,0.0037416461915453524,0.00015173209981301795
331,1.4850376913777231e-05,0.0037648902218234814,0.0001924092142250307
332,9.039359876589716e-06,0.003811378281703946,0.00017497616527958142
333,9.039359876589716e-06,0.00385205533336055,0.00019822023051075353
334,3.2283428246606827e-06,0.003915976413142925,0.00018659819792458238
335,3.2283428246606827e-06,0.003933409434606571,0.00021565327927971345
336,9.039359876589716e-06,0.003991519505238952,0.00019822023051075353
337,-2.5826742420259e-06,0.004043818567607648,0.00022146429550662253
