v_const,a_const,smooth
0.00020105600000000002,0.007087224,0.002613728
0.00020105600000000002,0.007137488000000001,0.002663992
0.00025131999999999997,0.007238016,0.002663992
0.00025131999999999997,0.00728828,0.002714256000000001
0.00025131999999999997,0.007338544000000001,0.002714256000000001
0.00025131999999999997,0.007388808,0.00276452
0.00025131999999999997,0.007439072000000001,0.00276452
0.00025131999999999997,0.0075396000000000005,0.0028147840000000003
0.00025131999999999997,0.007589864,0.002865048
0.00025131999999999997,0.007640128,0.002865048
0.00025131999999999997,0.007690392,0.002915312
0.00025131999999999997,0.00779092,0.002915312
0.00025131999999999997,0.007841184,0.0029655760000000006
0.00025131999999999997,0.007891447999999999,0.00301584
0.00025131999999999997,0.007941712,0.00301584
0.00025131999999999997,0.008042239999999999,0.0030661040000000005
0.00025131999999999997,0.008092504,0.0030661040000000005
0.00025131999999999997,0.008142768,0.003116368
0.00025131999999999997,0.008193032000000001,0.0031666320000000004
0.00025131999999999997,0.008293560000000002,0.0031666320000000004
0.00025131999999999997,0.008343824000000001,0.0032168960000000003
0.000301584,0.008394088,0.0032671600000000007
0.000301584,0.008444351999999999,0.0032671600000000007
0.000301584,0.008544880000000001,0.003317424
0.000301584,0.008595144,0.003317424
0.000301584,0.008645408,0.003367688
0.000301584,0.008745936000000001,0.003417952
0.000301584,0.008796200000000002,0.003417952
0.000301584,0.008846464000000002,0.003468216
0.000301584,0.008946991999999999,0.00351848
0.000301584,0.008997256,0.00351848
0.000301584,0.00904752,0.0035687440000000004
0.000301584,0.009148048,0.003619008
0.000301584,0.009198312000000002,0.003619008
0.000301584,0.009248576,0.0036692720000000003
0.000301584,0.009349104,0.0037195360000000007
0.000301584,0.009399368000000002,0.0037195360000000007
0.000301584,0.009449632000000001,0.0037698000000000002
0.00035184800000000004,0.00955016,0.003820064
0.00035184800000000004,0.009600424,0.003870328
0.00035184800000000004,0.009700952,0.003870328
0.00035184800000000004,0.009751216,0.003920592
0.00035184800000000004,0.00980148,0.003970856
0.00035184800000000004,0.009902008,0.003970856
0.00035184800000000004,0.009952272,0.0040211199999999996
0.00035184800000000004,0.0100528,0.004071384
0.00035184800000000004,0.010103064,0.004121648
0.00035184800000000004,0.010153327999999998,0.004121648
0.00035184800000000004,0.010253856,0.004171912000000001
0.00035184800000000004,0.01030412,0.004222175999999999
0.00035184800000000004,0.010404648000000002,0.004272440000000001
0.00035184800000000004,0.010454912,0.004272440000000001
