,v_const,a_const,smooth,integrated_v_const,integrated_a_const,integrated_smooth
212,0.016666666666666666,0.31533333333333335,0.305,0.12867111082000027,0.05007333333333336,0.05553002694066668
213,0.01633333333333333,0.31833333333333336,0.30666666666666664,0.12948144415150026,0.05070700000000002,0.05627761939733335
214,0.01633333333333333,0.32066666666666666,0.30733333333333335,0.1302835922978336,0.051346000000000024,0.05702806370533335
215,0.016666666666666666,0.322,0.308,0.13109392562933359,0.05198866666666669,0.057780137642666686
216,0.016666666666666666,0.324,0.30833333333333335,0.13191244414600026,0.05263466666666669,0.05853343380200002
217,0.016666666666666666,0.3266666666666667,0.309,0.13273096266266693,0.05328533333333336,0.05928795218333335
218,0.016666666666666666,0.32933333333333337,0.3093333333333333,0.1335494811793336,0.053941333333333355,0.060043692786666686
219,0.01633333333333333,0.3303333333333333,0.3106666666666667,0.1343598145108336,0.054601000000000025,0.060801470426666684
220,0.01633333333333333,0.33266666666666667,0.3126666666666667,0.13516196265716693,0.05526400000000002,0.061563322140000015
221,0.016666666666666666,0.3343333333333333,0.314,0.13597229598866692,0.05593100000000002,0.062329247926666685
222,0.01633333333333333,0.33666666666666667,0.314,0.1367826293201669,0.05660200000000002,0.06309680334266668
223,0.016,0.3383333333333333,0.31333333333333335,0.13757659228133357,0.05727700000000002,0.06386354394400001
224,0.016,0.3403333333333334,0.3123333333333333,0.13836237005733357,0.05795566666666669,0.06462824750866668
225,0.017,0.3423333333333333,0.3123333333333333,0.13917270338883356,0.058638333333333355,0.06539172885133335
226,0.01633333333333333,0.34400000000000003,0.3126666666666667,0.13999122190550023,0.059324666666666685,0.06615561760133334
227,0.016,0.3453333333333333,0.314,0.14078518486666688,0.06001400000000002,0.06692154338800001
228,0.01633333333333333,0.348,0.315,0.14157914782783354,0.06070733333333335,0.067690321026
229,0.01633333333333333,0.35033333333333333,0.316,0.14238129597416688,0.061405666666666685,0.06846154310800001
230,0.016666666666666666,0.35233333333333333,0.3156666666666667,0.14319162930566687,0.06210833333333335,0.06923358000466667
231,0.015000000000000001,0.35366666666666663,0.31466666666666665,0.1439692218965002,0.06281433333333335,0.07000398727200001
232,0.013000000000000001,0.35533333333333333,0.314,0.14465677745050018,0.06352333333333335,0.07077235750266668
233,0.010333333333333333,0.35700000000000004,0.314,0.14522974041216685,0.06423566666666668,0.07153991291866668
234,0.007333333333333333,0.35966666666666663,0.314,0.1456635552260002,0.06495233333333335,0.07230746833466668
235,0.005333333333333333,0.361,0.31466666666666665,0.14597459226233353,0.06567300000000001,0.07307583856533335
236,0.003,0.364,0.31533333333333335,0.1461792218915002,0.06639800000000001,0.07384583842533335
237,0.0003333333333333333,0.366,0.31533333333333335,0.14626107374316688,0.06712800000000001,0.07461665310000001
238,-0.0,0.369,0.31533333333333335,0.14626925892833353,0.067863,0.07538746777466668
239,-0.0,0.36966666666666664,0.3156666666666667,0.14626925892833353,0.06860166666666667,0.07615868985666668
240,-0.0,0.37266666666666665,0.3156666666666667,0.14626925892833353,0.069344,0.07693031934600002
241,-0.0,0.373,0.316,0.14626925892833353,0.07008966666666668,0.07770235624266668
242,-0.0,0.37433333333333335,0.3156666666666667,0.14626925892833353,0.07083700000000001,0.07847439313933334
243,-0.0,0.37533333333333335,0.314,0.14626925892833353,0.07158666666666667,0.07924398559200001
244,-0.0,0.376,0.3126666666666667,0.14626925892833353,0.07233800000000001,0.08000991137866667
245,-0.0,0.3766666666666667,0.3126666666666667,0.14626925892833353,0.07309066666666668,0.08077420753600001
246,-0.0,0.37733333333333335,0.3126666666666667,0.14626925892833353,0.07384466666666668,0.08153850369333335
247,-0.0,0.377,0.312,0.14626925892833353,0.07459900000000001,0.08230198503600002
248,-0.0,0.3766666666666667,0.312,0.14626925892833353,0.07535266666666668,0.08306465156400002
249,-0.0,0.3766666666666667,0.312,0.14626925892833353,0.07610600000000001,0.08382731809200002
250,-0.0,0.375,0.311,0.14626925892833353,0.07685766666666667,0.08458876239800002
251,-0.0,0.373,0.309,0.14626925892833353,0.07760566666666667,0.08534654003800002
252,-0.0,0.372,0.3076666666666667,0.14626925892833353,0.07835066666666667,0.08610024360466668
253,-0.0,0.3703333333333333,0.30666666666666664,0.14626925892833353,0.079093,0.08685109532000002
254,-0.0,0.36766666666666664,0.3046666666666667,0.14626925892833353,0.079831,0.08759828036933334
255,-0.0,0.36633333333333334,0.30233333333333334,0.14626925892833353,0.080565,0.08834016912333334
256,-0.0,0.36433333333333334,0.3013333333333333,0.14626925892833353,0.08129566666666667,0.089077983804
257,-0.0,0.3623333333333333,0.30033333333333334,0.14626925892833353,0.08202233333333334,0.08981335404066668
258,-0.0,0.35966666666666663,0.3,0.14626925892833353,0.08274433333333334,0.09054709464800001
259,-0.002,0.35733333333333334,0.30033333333333334,0.14622014781733353,0.08346133333333333,0.09128083525533334
260,-0.005,0.35500000000000004,0.2996666666666667,0.14604825892883352,0.08417366666666666,0.09201416845533335
261,-0.007333333333333333,0.35233333333333333,0.2983333333333333,0.14574540707766687,0.084881,0.09274505721133335
262,-0.01,0.35,0.2966666666666667,0.1453197774490002,0.08558333333333333,0.09347227930133334
263,-0.012333333333333333,0.34933333333333333,0.2946666666666667,0.14477137004283355,0.08628266666666666,0.09419501991066667
264,-0.014666666666666666,0.34700000000000003,0.292,0.14410837004433355,0.08697899999999999,0.09491205681733333
265,-0.017,0.3443333333333333,0.2903333333333334,0.14333077745350023,0.08767033333333332,0.09562379742866667
266,-0.016666666666666666,0.3416666666666667,0.28933333333333333,0.1425040737516669,0.08835633333333333,0.09633227878133334
267,-0.017,0.341,0.28733333333333333,0.14167737004983358,0.089039,0.097037093468
268,-0.01633333333333333,0.338,0.2866666666666667,0.1408588515331669,0.08971799999999999,0.09773864889600001
